id,label,class,uri,sameAs
cineteca,Cineteca di Bologna,schema:Organization,,
renzi_library,Renzo Renzi Library,schema:Library,,
renzi_collection,Renzo Renzi Collection,schema:Collection,,
first_fellini_book,Book "Il primo Fellini",schema:CreativeWork,,
lastrada_screenplay_tei,Screenplay / La Strada (Sequence I, TEI),schema:CreativeWork,,
fulgor_photo,"Fulgor" Photograph,schema:ImageObject,,
caricatura_fellini_renzi,Fellini → Renzi Caricature,schema:VisualArtwork,,
renzi_interview_2000,Renzo Renzi Video Interview (2000),schema:CreativeWork,,
la_strada_soundtrack,Soundtrack "La Strada",schema:CreativeWork,,
la_strada_film,Film "La Strada",schema:Movie,,
renzo_renzi,Renzo Renzi,foaf:Person,,https://it.wikipedia.org/wiki/Renzo_Renzi
federico_fellini,Federico Fellini,foaf:Person,,https://www.wikidata.org/wiki/Q3083
public_reception,Public Reception,skos:Concept,,
renzi_oral_memory,Renzo Renzi Oral Memory,skos:Concept,,
