id,label,class,uri,sameAs
cineteca,Cineteca di Bologna,schema:Organization,,
biblioteca,Biblioteca Renzo Renzi,schema:Library,,
fondo,Fondo Renzi,schema:Collection,,
libro,"Libro ""Il primo Fellini""",schema:CreativeWork,,
tei,Sceneggiatura / Sequenza I (TEI),schema:CreativeWork,,
foto,Fotografia Fulgor,schema:ImageObject,,
caricatura,Caricatura Fellini→Renzi,schema:VisualArtwork,,
video,Videointervista 2000,schema:CreativeWork,,
ost,"Colonna sonora ""La Strada""",schema:CreativeWork,,
film,"Film ""La Strada""",schema:Movie,,
renzi,Renzo Renzi,foaf:Person,,
fellini,Federico Fellini,foaf:Person,,
ricezione,Ricezione pubblica,skos:Concept,,
memoria,Memoria orale di Renzi,skos:Concept,,
