subject,predicate,object,object_type,note
cineteca,dcterms:hasPart,biblioteca,iri,Cineteca include Biblioteca
biblioteca,dcterms:hasPart,fondo,iri,Biblioteca conserva Fondo
fondo,dcterms:hasPart,libro,iri,Fondo contiene Libro
libro,dcterms:hasPart,tei,iri,Libro contiene TEI
fondo,dcterms:hasPart,foto,iri,Fondo contiene Foto
fondo,dcterms:hasPart,caricatura,iri,Fondo contiene Caricatura
fondo,dcterms:hasPart,video,iri,Fondo contiene Videointervista
fondo,dcterms:hasPart,ost,iri,Fondo contiene Colonna sonora
renzi,dcterms:relation,film,iri,Renzi interpreta/commenta il film
libro,dcterms:subject,film,iri,Il libro riguarda il film
tei,schema:about,film,iri,Il TEI rappresenta il film
foto,schema:about,ricezione,iri,La foto documenta la ricezione pubblica
caricatura,foaf:depicts,renzi,iri,La caricatura rappresenta Renzi
video,schema:about,memoria,iri,Il video testimonia la memoria orale
fellini,dcterms:creator,film,iri,Fellini autore del film
caricatura,prov:wasAttributedTo,fellini,iri,Caricatura attribuita a Fellini
